ID,Title,Content,Excerpt,Date,Post Type,Permalink,Image URL,Image Title,Image Caption,Image Description,Image Alt Text,Attachment URL,Question Categories,Question Tags,Status,Author ID,Author Username,Author Email,Author First Name,Author Last Name,Slug,Format,Template,Parent,Parent Slug,Order,Comment Status,Ping Status,Post Modified Date,answers,selected,votes_up,votes_down,views,year,session,roles,inspection_check
301,화공열역학 2013년 1회차 질문 - 301[채택X][답변X],이것은 테스트 질문 내용입니다,,2018-03-19,question,http://localhost:8888/site/question/화공열역학-2013년-1회차-질문-301채택x답변x/,,,,,,,자격증>국가기술>화공기사>화공열역학,,publish,1,rpf5573,rpf5573@gmail.com,,,화공열역학-2013년-1회차-질문-301채택x답변x/,,default,0,0,0,open,open,2018-03-19,4,0,14,6,0,2013,1,1,1
302,화공열역학 2013년 2회차 질문 - 302[채택X][답변X],이것은 테스트 질문 내용입니다,,2018-03-19,question,http://localhost:8888/site/question/화공열역학-2013년-2회차-질문-302채택x답변x/,,,,,,,자격증>국가기술>화공기사>화공열역학,,publish,1,rpf5573,rpf5573@gmail.com,,,화공열역학-2013년-2회차-질문-302채택x답변x/,,default,0,0,0,open,open,2018-03-19,1,0,17,4,0,2013,2,1,0
303,화공열역학 2013년 3회차 질문 - 303[채택X][답변X],이것은 테스트 질문 내용입니다,,2018-03-19,question,http://localhost:8888/site/question/화공열역학-2013년-3회차-질문-303채택x답변x/,,,,,,,자격증>국가기술>화공기사>화공열역학,,publish,1,rpf5573,rpf5573@gmail.com,,,화공열역학-2013년-3회차-질문-303채택x답변x/,,default,0,0,0,open,open,2018-03-19,3,0,11,1,0,2013,3,1,0
304,화공열역학 2013년 4회차 질문 - 304[채택X][답변X],이것은 테스트 질문 내용입니다,,2018-03-19,question,http://localhost:8888/site/question/화공열역학-2013년-4회차-질문-304채택x답변x/,,,,,,,자격증>국가기술>화공기사>화공열역학,,publish,1,rpf5573,rpf5573@gmail.com,,,화공열역학-2013년-4회차-질문-304채택x답변x/,,default,0,0,0,open,open,2018-03-19,2,0,9,9,0,2013,4,1,0
305,화공열역학 2014년 1회차 질문 - 305[채택X][답변X],이것은 테스트 질문 내용입니다,,2018-03-19,question,http://localhost:8888/site/question/화공열역학-2014년-1회차-질문-305채택x답변x/,,,,,,,자격증>국가기술>화공기사>화공열역학,,publish,1,rpf5573,rpf5573@gmail.com,,,화공열역학-2014년-1회차-질문-305채택x답변x/,,default,0,0,0,open,open,2018-03-19,2,0,6,0,0,2014,1,1,1
306,화공열역학 2014년 2회차 질문 - 306[채택X][답변X],이것은 테스트 질문 내용입니다,,2018-03-19,question,http://localhost:8888/site/question/화공열역학-2014년-2회차-질문-306채택x답변x/,,,,,,,자격증>국가기술>화공기사>화공열역학,,publish,1,rpf5573,rpf5573@gmail.com,,,화공열역학-2014년-2회차-질문-306채택x답변x/,,default,0,0,0,open,open,2018-03-19,2,0,3,9,0,2014,2,1,0
307,화공열역학 2014년 3회차 질문 - 307[채택X][답변X],이것은 테스트 질문 내용입니다,,2018-03-19,question,http://localhost:8888/site/question/화공열역학-2014년-3회차-질문-307채택x답변x/,,,,,,,자격증>국가기술>화공기사>화공열역학,,publish,1,rpf5573,rpf5573@gmail.com,,,화공열역학-2014년-3회차-질문-307채택x답변x/,,default,0,0,0,open,open,2018-03-19,0,0,1,10,0,2014,3,1,0
308,화공열역학 2014년 4회차 질문 - 308[채택X][답변X],이것은 테스트 질문 내용입니다,,2018-03-19,question,http://localhost:8888/site/question/화공열역학-2014년-4회차-질문-308채택x답변x/,,,,,,,자격증>국가기술>화공기사>화공열역학,,publish,1,rpf5573,rpf5573@gmail.com,,,화공열역학-2014년-4회차-질문-308채택x답변x/,,default,0,0,0,open,open,2018-03-19,0,0,11,5,0,2014,4,1,0
309,화공열역학 2015년 1회차 질문 - 309[채택X][답변X],이것은 테스트 질문 내용입니다,,2018-03-19,question,http://localhost:8888/site/question/화공열역학-2015년-1회차-질문-309채택x답변x/,,,,,,,자격증>국가기술>화공기사>화공열역학,,publish,1,rpf5573,rpf5573@gmail.com,,,화공열역학-2015년-1회차-질문-309채택x답변x/,,default,0,0,0,open,open,2018-03-19,3,0,9,6,0,2015,1,1,1
310,화공열역학 2015년 2회차 질문 - 310[채택X][답변X],이것은 테스트 질문 내용입니다,,2018-03-19,question,http://localhost:8888/site/question/화공열역학-2015년-2회차-질문-310채택x답변x/,,,,,,,자격증>국가기술>화공기사>화공열역학,,publish,1,rpf5573,rpf5573@gmail.com,,,화공열역학-2015년-2회차-질문-310채택x답변x/,,default,0,0,0,open,open,2018-03-19,4,0,7,8,0,2015,2,1,0
